sample_id	raw_file_name	quant_type	source_column	plate	well	replicate_letter	ip_name	bait_name	condition	is_control	replicate_group	keep	notes
b10494	b10494.raw	Intensity	Intensity b10494	81110	G07	C	b10494	TBC1D14	81110	N	TBC1D14__81110	Y	auto_filled_from_archiveSummary
b10495	b10495.raw	Intensity	Intensity b10495	81110	G06	C	b10495	VILL	81110	N	VILL__81110	Y	auto_filled_from_archiveSummary
b12290	b12290.raw	Intensity	Intensity b12290	81131	B12	B	b12290	YBEY	81131	N	YBEY__81131	Y	auto_filled_from_archiveSummary
b12292	b12292.raw	Intensity	Intensity b12292	81131	B10	B	b12292	CHL1	81131	N	CHL1__81131	Y	auto_filled_from_archiveSummary
b12293	b12293.raw	Intensity	Intensity b12293	81131	B09	B	b12293	MAML2	81131	N	MAML2__81131	Y	auto_filled_from_archiveSummary
b12294	b12294.raw	Intensity	Intensity b12294	81131	B08	B	b12294	LRIG1	81131	N	LRIG1__81131	Y	auto_filled_from_archiveSummary
b12295	b12295.raw	Intensity	Intensity b12295	81131	B07	B	b12295	TUBGCP5	81131	N	TUBGCP5__81131	Y	auto_filled_from_archiveSummary
b12297	b12297.raw	Intensity	Intensity b12297	81131	B05	B	b12297	MAGEE1	81131	N	MAGEE1__81131	Y	auto_filled_from_archiveSummary
b12298	b12298.raw	Intensity	Intensity b12298	81131	B04	B	b12298	PLEKHG5	81131	N	PLEKHG5__81131	Y	auto_filled_from_archiveSummary
b12299	b12299.raw	Intensity	Intensity b12299	81131	B03	B	b12299	OCRL	81131	N	OCRL__81131	Y	auto_filled_from_archiveSummary
b12300	b12300.raw	Intensity	Intensity b12300	81131	B02	B	b12300	COPG	81131	N	COPG__81131	Y	auto_filled_from_archiveSummary
b12301	b12301.raw	Intensity	Intensity b12301	81131	G02	A	b12301	ECT2	81131	N	ECT2__81131	Y	auto_filled_from_archiveSummary
b12302	b12302.raw	Intensity	Intensity b12302	81131	G03	A	b12302	NSMAF	81131	N	NSMAF__81131	Y	auto_filled_from_archiveSummary
b12303	b12303.raw	Intensity	Intensity b12303	81131	G04	A	b12303	GAA	81131	N	GAA__81131	Y	auto_filled_from_archiveSummary
b12304	b12304.raw	Intensity	Intensity b12304	81131	G05	A	b12304	SUGP2	81131	N	SUGP2__81131	Y	auto_filled_from_archiveSummary
b12306	b12306.raw	Intensity	Intensity b12306	81131	G09	A	b12306	PCDH12	81131	N	PCDH12__81131	Y	auto_filled_from_archiveSummary
b12310	b12310.raw	Intensity	Intensity b12310	81131	H01	A	b12310	IL12RB2	81131	N	IL12RB2__81131	Y	auto_filled_from_archiveSummary
b12311	b12311.raw	Intensity	Intensity b12311	81131	H02	A	b12311	PCDHAC2	81131	N	PCDHAC2__81131	Y	auto_filled_from_archiveSummary
b12312	b12312.raw	Intensity	Intensity b12312	81131	H04	A	b12312	VWCE	81131	N	VWCE__81131	Y	auto_filled_from_archiveSummary
b12313	b12313.raw	Intensity	Intensity b12313	81131	H05	A	b12313	ANKRD18A	81131	N	ANKRD18A__81131	Y	auto_filled_from_archiveSummary
b12315	b12315.raw	Intensity	Intensity b12315	81131	H07	A	b12315	CRAMP1L	81131	N	CRAMP1L__81131	Y	auto_filled_from_archiveSummary
b12316	b12316.raw	Intensity	Intensity b12316	81131	H08	A	b12316	FAM120A	81131	N	FAM120A__81131	Y	auto_filled_from_archiveSummary
b12318	b12318.raw	Intensity	Intensity b12318	81131	H10	A	b12318	MYO6	81131	N	MYO6__81131	Y	auto_filled_from_archiveSummary
b12319	b12319.raw	Intensity	Intensity b12319	81131	H11	A	b12319	A2M	81131	N	A2M__81131	Y	auto_filled_from_archiveSummary
b12325	b12325.raw	Intensity	Intensity b12325	81131	D10	B	b12325	COBL	81131	N	COBL__81131	Y	auto_filled_from_archiveSummary
b12326	b12326.raw	Intensity	Intensity b12326	81131	D09	B	b12326	LARS	81131	N	LARS__81131	Y	auto_filled_from_archiveSummary
b12327	b12327.raw	Intensity	Intensity b12327	81131	D08	B	b12327	NOL8	81131	N	NOL8__81131	Y	auto_filled_from_archiveSummary
b12329	b12329.raw	Intensity	Intensity b12329	81131	D07	B	b12329	KRBA1	81131	N	KRBA1__81131	Y	auto_filled_from_archiveSummary
b12330	b12330.raw	Intensity	Intensity b12330	81131	D06	B	b12330	SEMA6D	81131	N	SEMA6D__81131	Y	auto_filled_from_archiveSummary
b12331	b12331.raw	Intensity	Intensity b12331	81131	D05	B	b12331	SYCP1	81131	N	SYCP1__81131	Y	auto_filled_from_archiveSummary
b12332	b12332.raw	Intensity	Intensity b12332	81131	D04	B	b12332	ERAP1	81131	N	ERAP1__81131	Y	auto_filled_from_archiveSummary
b12333	b12333.raw	Intensity	Intensity b12333	81131	D03	B	b12333	ANO6	81131	N	ANO6__81131	Y	auto_filled_from_archiveSummary
b12334	b12334.raw	Intensity	Intensity b12334	81131	D01	B	b12334	GANAB	81131	N	GANAB__81131	Y	auto_filled_from_archiveSummary
b12337	b12337.raw	Intensity	Intensity b12337	81131	F07	C	b12337	DCLRE1A	81131	N	DCLRE1A__81131	Y	auto_filled_from_archiveSummary
b12420	b12420.raw	Intensity	Intensity b12420	81131	H11	C	b12420	A2M	81131	N	A2M__81131	Y	auto_filled_from_archiveSummary
b12421	b12421.raw	Intensity	Intensity b12421	81131	H10	C	b12421	MYO6	81131	N	MYO6__81131	Y	auto_filled_from_archiveSummary
b12423	b12423.raw	Intensity	Intensity b12423	81131	H08	C	b12423	FAM120A	81131	N	FAM120A__81131	Y	auto_filled_from_archiveSummary
b12424	b12424.raw	Intensity	Intensity b12424	81131	H07	C	b12424	CRAMP1L	81131	N	CRAMP1L__81131	Y	auto_filled_from_archiveSummary
b12426	b12426.raw	Intensity	Intensity b12426	81131	H05	C	b12426	ANKRD18A	81131	N	ANKRD18A__81131	Y	auto_filled_from_archiveSummary
b12427	b12427.raw	Intensity	Intensity b12427	81131	H04	C	b12427	VWCE	81131	N	VWCE__81131	Y	auto_filled_from_archiveSummary
b12428	b12428.raw	Intensity	Intensity b12428	81131	H02	C	b12428	PCDHAC2	81131	N	PCDHAC2__81131	Y	auto_filled_from_archiveSummary
b12429	b12429.raw	Intensity	Intensity b12429	81131	H01	C	b12429	IL12RB2	81131	N	IL12RB2__81131	Y	auto_filled_from_archiveSummary
b12600	b12600.raw	Intensity	Intensity b12600	81131	B11	D	b12600	MAPK8IP3	81131	N	MAPK8IP3__81131	Y	auto_filled_from_archiveSummary
b12601	b12601.raw	Intensity	Intensity b12601	81131	D08	D	b12601	NOL8	81131	N	NOL8__81131	Y	auto_filled_from_archiveSummary
b12602	b12602.raw	Intensity	Intensity b12602	81131	D09	D	b12602	LARS	81131	N	LARS__81131	Y	auto_filled_from_archiveSummary
b12603	b12603.raw	Intensity	Intensity b12603	81131	D10	D	b12603	COBL	81131	N	COBL__81131	Y	auto_filled_from_archiveSummary
b12605	b12605.raw	Intensity	Intensity b12605	81131	E06	D	b12605	PPFIBP1	81131	N	PPFIBP1__81131	Y	auto_filled_from_archiveSummary
b12608	b12608.raw	Intensity	Intensity b12608	81131	G05	D	b12608	SUGP2	81131	N	SUGP2__81131	Y	auto_filled_from_archiveSummary
b13288	b13288.raw	Intensity	Intensity b13288	81002	G10	B	b13288	RPS21	81002	N	RPS21__81002	Y	auto_filled_from_archiveSummary
b13289	b13289.raw	Intensity	Intensity b13289	81002	G08	B	b13289	C5orf62	81002	N	C5orf62__81002	Y	auto_filled_from_archiveSummary
b13292	b13292.raw	Intensity	Intensity b13292	81002	G04	B	b13292	ATP5I	81002	N	ATP5I__81002	Y	auto_filled_from_archiveSummary
b13295	b13295.raw	Intensity	Intensity b13295	81002	F12	B	b13295	OAZ1	81002	N	OAZ1__81002	Y	auto_filled_from_archiveSummary
b13297	b13297.raw	Intensity	Intensity b13297	81002	F09	B	b13297	COX7C	81002	N	COX7C__81002	Y	auto_filled_from_archiveSummary
b13300	b13300.raw	Intensity	Intensity b13300	81002	F05	B	b13300	USMG5	81002	N	USMG5__81002	Y	auto_filled_from_archiveSummary
b13301	b13301.raw	Intensity	Intensity b13301	81002	F03	B	b13301	MT2A	81002	N	MT2A__81002	Y	auto_filled_from_archiveSummary
b13305	b13305.raw	Intensity	Intensity b13305	81002	H10	B	b13305	GNG5	81002	N	GNG5__81002	Y	auto_filled_from_archiveSummary
b13306	b13306.raw	Intensity	Intensity b13306	81002	H09	B	b13306	COX17	81002	N	COX17__81002	Y	auto_filled_from_archiveSummary
b13307	b13307.raw	Intensity	Intensity b13307	81002	H08	B	b13307	SBDSP1	81002	N	SBDSP1__81002	Y	auto_filled_from_archiveSummary
b13349	b13349.raw	Intensity	Intensity b13349	81002	E09	B	b13349	NBR2	81002	N	NBR2__81002	Y	auto_filled_from_archiveSummary
b13352	b13352.raw	Intensity	Intensity b13352	81002	E04	B	b13352	RPS28	81002	N	RPS28__81002	Y	auto_filled_from_archiveSummary
b13353	b13353.raw	Intensity	Intensity b13353	81002	E03	B	b13353	POLR2L	81002	N	POLR2L__81002	Y	auto_filled_from_archiveSummary
b13358	b13358.raw	Intensity	Intensity b13358	81002	A03	C	b13358	ATOX1	81002	N	ATOX1__81002	Y	auto_filled_from_archiveSummary
b13359	b13359.raw	Intensity	Intensity b13359	81002	A11	C	b13359	MTCP1NB	81002	N	MTCP1NB__81002	Y	auto_filled_from_archiveSummary
b13360	b13360.raw	Intensity	Intensity b13360	81002	B02	C	b13360	DEFB106A	81002	N	DEFB106A__81002	Y	auto_filled_from_archiveSummary
b13361	b13361.raw	Intensity	Intensity b13361	81002	B05	C	b13361	MRPL33	81002	N	MRPL33__81002	Y	auto_filled_from_archiveSummary
b13364	b13364.raw	Intensity	Intensity b13364	81002	C01	C	b13364	C16orf74	81002	N	C16orf74__81002	Y	auto_filled_from_archiveSummary
b13365	b13365.raw	Intensity	Intensity b13365	81002	D11	C	b13365	LENEP	81002	N	LENEP__81002	Y	auto_filled_from_archiveSummary
b13367	b13367.raw	Intensity	Intensity b13367	81002	F03	C	b13367	MT2A	81002	N	MT2A__81002	Y	auto_filled_from_archiveSummary
b13409	b13409.raw	Intensity	Intensity b13409	81002	F05	C	b13409	USMG5	81002	N	USMG5__81002	Y	auto_filled_from_archiveSummary
b13412	b13412.raw	Intensity	Intensity b13412	81002	F09	C	b13412	COX7C	81002	N	COX7C__81002	Y	auto_filled_from_archiveSummary
b13414	b13414.raw	Intensity	Intensity b13414	81002	G04	C	b13414	ATP5I	81002	N	ATP5I__81002	Y	auto_filled_from_archiveSummary
b13416	b13416.raw	Intensity	Intensity b13416	81002	G10	C	b13416	RPS21	81002	N	RPS21__81002	Y	auto_filled_from_archiveSummary
b13421	b13421.raw	Intensity	Intensity b13421	81002	H09	C	b13421	COX17	81002	N	COX17__81002	Y	auto_filled_from_archiveSummary
b13423	b13423.raw	Intensity	Intensity b13423	81002	D02	C	b13423	LST1	81002	N	LST1__81002	Y	auto_filled_from_archiveSummary
b13425	b13425.raw	Intensity	Intensity b13425	81002	A07	C	b13425	SEP15	81002	N	SEP15__81002	Y	auto_filled_from_archiveSummary
b13883	b13883.raw	Intensity	Intensity b13883	81130	B03	A	b13883	LRFN2	81130	N	LRFN2__81130	Y	auto_filled_from_archiveSummary
b13884	b13884.raw	Intensity	Intensity b13884	81130	B04	A	b13884	DIS3	81130	N	DIS3__81130	Y	auto_filled_from_archiveSummary
b13885	b13885.raw	Intensity	Intensity b13885	81130	B06	A	b13885	PCDHGB2	81130	N	PCDHGB2__81130	Y	auto_filled_from_archiveSummary
b13886	b13886.raw	Intensity	Intensity b13886	81130	B07	A	b13886	PCDHB1	81130	N	PCDHB1__81130	Y	auto_filled_from_archiveSummary
b13888	b13888.raw	Intensity	Intensity b13888	81130	B09	A	b13888	MOGS	81130	N	MOGS__81130	Y	auto_filled_from_archiveSummary
b13889	b13889.raw	Intensity	Intensity b13889	81130	B10	A	b13889	GABBR1	81130	N	GABBR1__81130	Y	auto_filled_from_archiveSummary
b13890	b13890.raw	Intensity	Intensity b13890	81130	B11	A	b13890	RABEP1	81130	N	RABEP1__81130	Y	auto_filled_from_archiveSummary
b13891	b13891.raw	Intensity	Intensity b13891	81130	E01	A	b13891	RASEF	81130	N	RASEF__81130	Y	auto_filled_from_archiveSummary
b13892	b13892.raw	Intensity	Intensity b13892	81130	E02	A	b13892	EPC2	81130	N	EPC2__81130	Y	auto_filled_from_archiveSummary
b13894	b13894.raw	Intensity	Intensity b13894	81130	E07	A	b13894	GTF3C4	81130	N	GTF3C4__81130	Y	auto_filled_from_archiveSummary
b13895	b13895.raw	Intensity	Intensity b13895	81130	E11	A	b13895	PCDHGC5	81130	N	PCDHGC5__81130	Y	auto_filled_from_archiveSummary
b13896	b13896.raw	Intensity	Intensity b13896	81130	F02	A	b13896	PNPT1	81130	N	PNPT1__81130	Y	auto_filled_from_archiveSummary
b13897	b13897.raw	Intensity	Intensity b13897	81130	F04	A	b13897	GSG2	81130	N	GSG2__81130	Y	auto_filled_from_archiveSummary
b13898	b13898.raw	Intensity	Intensity b13898	81130	F09	A	b13898	ARHGAP12	81130	N	ARHGAP12__81130	Y	auto_filled_from_archiveSummary
b13899	b13899.raw	Intensity	Intensity b13899	81130	F11	A	b13899	PHF14	81130	N	PHF14__81130	Y	auto_filled_from_archiveSummary
b14377	b14377.raw	Intensity	Intensity b14377	81033PEI	E03	A	b14377	EMP3	81033PEI	N	EMP3__81033PEI	Y	auto_filled_from_archiveSummary
b14378	b14378.raw	Intensity	Intensity b14378	81033PEI	E04	A	b14378	UPP1	81033PEI	N	UPP1__81033PEI	Y	auto_filled_from_archiveSummary
b14381	b14381.raw	Intensity	Intensity b14381	81033PEI	E07	A	b14381	LAGE3	81033PEI	N	LAGE3__81033PEI	Y	auto_filled_from_archiveSummary
b14382	b14382.raw	Intensity	Intensity b14382	81033PEI	E08	A	b14382	C4orf39	81033PEI	N	C4orf39__81033PEI	Y	auto_filled_from_archiveSummary
b14386	b14386.raw	Intensity	Intensity b14386	81033PEI	E10	A	b14386	MS4A6E	81033PEI	N	MS4A6E__81033PEI	Y	auto_filled_from_archiveSummary
b14391	b14391.raw	Intensity	Intensity b14391	81033PEI	F04	A	b14391	NDUFAF4	81033PEI	N	NDUFAF4__81033PEI	Y	auto_filled_from_archiveSummary
b14394	b14394.raw	Intensity	Intensity b14394	81033PEI	F08	A	b14394	TWIST2	81033PEI	N	TWIST2__81033PEI	Y	auto_filled_from_archiveSummary
b14396	b14396.raw	Intensity	Intensity b14396	81033PEI	F10	A	b14396	LAIR2	81033PEI	N	LAIR2__81033PEI	Y	auto_filled_from_archiveSummary
b14412	b14412.raw	Intensity	Intensity b14412	81033PEI	D12	B	b14412	TNFSF18	81033PEI	N	TNFSF18__81033PEI	Y	auto_filled_from_archiveSummary
b14413	b14413.raw	Intensity	Intensity b14413	81033PEI	D11	B	b14413	LEP	81033PEI	N	LEP__81033PEI	Y	auto_filled_from_archiveSummary
