idPrey	preyGene
A0A024R3Z1	MAP2
A0A024R4K9	TMPIT
A0A024R571	EHD1
A0A024R6N5	
A0A024RA52	PSMA2
A0A024RCL3	MICA
A0A075B6K5	IGLV3-9
A0A075B730	EPPK1
A0A075B784	USP36
A0A075B7G8	APBB1
A0A087WSZ2	ACTN3
A0A087WT20	DCAF13
A0A087WT30	C12orf45
A0A087WT53	MAGI1
A0A087WT59	TTR
A0A087WTJ9	UBR1
A0A087WTM5	RNF34
A0A087WTV5	TADA2A
A0A087WTY5	COL4A1
A0A087WU03	HNRNPDL
A0A087WUK2	HNRNPDL
A0A087WV57	ZMYND8
A0A087WV67	UBXN8
A0A087WV86	BORA
A0A087WVF4	CHD1
A0A087WVP4	SMTN
A0A087WVR3	UHRF1
A0A087WVZ6	ZMYND8
A0A087WW06	TTC28
A0A087WWD4	NCAM1
A0A087WWH3	GLTSCR1
A0A087WWI6	DCAF7
A0A087WWR8	SULF1
A0A087WWS6	IFNA13
A0A087WWT1	SDHB
A0A087WWT2	NRN1
A0A087WWU1	TMEM237
A0A087WWU8	TPM3
A0A087WWW8	CABIN1
A0A087WWY4	PALM
A0A087WX19	IQCE
A0A087WXA6	GRIPAP1
A0A087WXF8	ZCCHC17
A0A087WXK5	ABCA2
A0A087WXK8	FAM83D
A0A087WXM6	RPL17
A0A087WXM8	BCAM
A0A087WY73	PRR4
A0A087WY96	SLC6A6
A0A087WYF4	ZNF302
A0A087WYF5	PRH1
A0A087WYF6	FAM21A
A0A087WYM5	KIAA0586
A0A087WYR0	SRP19
A0A087WYS1	UGP2
A0A087WYV9	SYNJ2BP-COX16
A0A087WZ09	GATA4
A0A087WZ13	RAVER1
A0A087WZ32	PLEKHA2
A0A087WZ62	ALG9
A0A087X0B7	SNAP47
A0A087X0Q1	YTHDF3
A0A087X0W3	GLMP
A0A087X159	SSBP2
A0A087X170	TRPV3
A0A087X1N0	GGNBP2
A0A087X1S3	HUWE1
A0A087X1V4	LAIR2
A0A087X1Z3	PSME2
A0A087X253	AP2B1
A0A087X256	KIAA1033
A0A087X271	CNN2
A0A087X2C2	FAM69A
A0A087X2D5	MRPL45
A0A087X2H1	HECTD1
A0A087X2I1	PSMC6
A0A088AWN2	WDR20
A0A096LNV3	RNF114
A0A096LP01	LINC00493
A0A096LP22	PTRH1
A0A096LP25	AAK1
A0A096LP55	UQCRHL
A0A096LPK9	OR4N5
A0A0A0MQR2	RTFDC1
A0A0A0MQR4	CIC
A0A0A0MQS0	PHF20L1
A0A0A0MQS1	PYCRL
A0A0A0MQU6	SEMA6A
A0A0A0MQW8	GPR161
A0A0A0MR08	USP19
A0A0A0MR39	MYEF2
A0A0A0MR74	DGAT1
A0A0A0MRA8	EPB41L3
A0A0A0MRE1	EXOC7
A0A0A0MRE5	ASAP1
A0A0A0MRI1	GPALPP1
A0A0A0MRI2	SNX6
A0A0A0MRJ0	CDC42BPA
A0A0A0MRJ2	ATF3
A0A0A0MRM5	GJB7
A0A0A0MRM8	MYO6
A0A0A0MRM9	NOLC1
A0A0A0MRP6	SMARCA1
A0A0A0MRQ7	DYDC2
A0A0A0MRR7	SNRPC
A0A0A0MRS4	TMEM38B
A0A0A0MRT5	NFKBIL1
A0A0A0MRV3	WRAP73
A0A0A0MRX1	ELAVL2
A0A0A0MRY2	ZMYND11
A0A0A0MS15	IGHV3-49
A0A0A0MS51	GSN
A0A0A0MSA0	LAMA3
A0A0A0MSB8	EXOC7
A0A0A0MSE2	HADH
A0A0A0MSE8	UBE2C
A0A0A0MSG0	WIPF3
A0A0A0MSI2	PHC2
A0A0A0MSK2	PET100
A0A0A0MSL7	SERHL2
A0A0A0MSV2	TRPM8
A0A0A0MSW5	ZNF778
A0A0A0MSW7	PRR16
A0A0A0MT09	PPP1R8
A0A0A0MT32	LIPA
A0A0A0MT33	SCAF8
A0A0A0MT83	IVD
A0A0A0MTB9	RBP1
A0A0A0MTC7	LAMA4
A0A0A0MTJ8	CADM1
A0A0A0MTL5	SKP2
A0A0A0MTN9	FDXR
A0A0A0MTR7	RNF213
A0A0A0MTU3	TMEM259
A0A0A6YYA0	TMED7-TICAM2
A0A0A6YYC0	RPS6KA4
A0A0A6YYC7	ZFP91-CNTF
A0A0A6YYG5	STON1-GTF2A1L
A0A0A6YYI3	PPAN-P2RY11
A0A0A6YYJ8	LUC7L2
A0A0A6YYL4	CORO7-PAM16
A0A0B4J1R7	C10orf32-ASMT
A0A0B4J1S8	PI4KB
A0A0B4J1V0	IGHV3-15
A0A0B4J1W3	NAA15
A0A0B4J1Z8	POLR2J3
A0A0B4J202	NMU
A0A0B4J231	IGLL5
A0A0B4J294	TRAPPC2L
A0A0B4J2A0	TRPV1
A0A0B4J2F4	TBC1D3I
A0A0B4J2G0	ZNF107
A0A0B4J2H0	IGHV1-69-2
A0A0C4DFM1	TM9SF4
A0A0C4DFT8	JADE2
A0A0C4DFV9	SET
A0A0C4DFX4	SRCAP
A0A0C4DFX9	NELFA
A0A0C4DFY5	GPRC5C
A0A0C4DFZ1	STX1A
A0A0C4DFZ2	ARSA
A0A0C4DG49	PVR
A0A0C4DG68	PUM2
A0A0C4DGA2	ECI2
A0A0C4DGG1	PACSIN3
A0A0C4DGH0	CD276
A0A0C4DGH3	NUMBL
A0A0C4DGM4	HYKK
A0A0C4DGN4	ZG16B
A0A0C4DGN6	GIT1
A0A0C4DGP4	PRKCSH
A0A0C4DGQ5	CAPNS1
A0A0C4DGQ8	DHRS7B
A0A0C4DGR2	PTOV1
A0A0C4DGY3	TTC8
A0A0C4DH01	POLR3E
A0A0C4DH07	LTBP4
A0A0C4DH29	IGHV1-3
A0A0C4DH31	IGHV1-18
A0A0C4DH38	IGHV5-51
A0A0C4DH65	KRBA1
A0A0C4DH67	IGKV1-8
A0A0C4DH68	IGKV2-24
A0A0C4DH72	IGKV1-6
A0A0D9SEI3	CDK11B
A0A0D9SEM4	SRSF4
A0A0D9SF54	SPTAN1
A0A0D9SF63	TBL1XR1
A0A0D9SF70	ARFGAP2
A0A0D9SFG6	CYTH2
A0A0D9SFW8	HLA-F
A0A0D9SG71	UBE2A
A0A0D9SGJ6	SYNJ1
A0A0D9SGJ8	MUM1
A0A0G2JH29	OAZ3
A0A0G2JH30	CDKN1C
A0A0G2JH66	HLA-F
A0A0G2JIS2	EHMT2
A0A0G2JIW1	HSPA1B
A0A0G2JK44	BRD2
A0A0G2JKF9	GABBR1
A0A0G2JLK6	PPT2
A0A0G2JLQ0	LAIR2
A0A0G2JLR5	RASSF7
A0A0G2JMB2	IGHA2
A0A0G2JMZ8	OCLN
A0A0G2JN29	NOMO1
A0A0G2JNB4	PRB3
A0A0G2JNH2	TJP1
A0A0G2JNR6	PPP2R3B
A0A0G2JNW7	SLC12A7
A0A0G2JP87	CCHCR1
A0A0G2JPP5	SCRIB
A0A0G2JPT5	RAD17
A0A0G2JQX1	TUBGCP5
A0A0G2JR50	SDCCAG8
A0A0G2JS23	CYP2D6
A0A0J9YW64	
A0A0J9YWM6	
A0A0J9YX62	DNAJB6
A0A0J9YX89	
A0A0J9YXF2	
A0A0J9YXY1	SOCS7
A0A0J9YY99	IGHV3-66
A0A0J9YYJ0	CNPY4
A0A0M3HER1	LIMS1
A0A0M3HER2	
A0A0S2Z377	ANXA6
A0A0S2Z3T4	FGFR1
A0A0S2Z4G6	TPM1
A0A0U1RQL9	hCG_2043597
A0A0U1RQP1	DNM1
A0A0U1RQQ9	SCYL2
A0A0U1RQS4	SHANK3
A0A0U1RQX0	
A0A0U1RR32	HIST1H2AJ
A0A0U1RR39	CBL
A0A0U1RRB6	EXOC6B
A0A0U1RRJ0	NRXN3
A0A0U1RRL7	
A0A0U1RRL8	SPATA20
A0A0U1RRM1	GATAD2B
A0A0U1RRM4	PTBP1
A0A0U1RRM6	
A0A0X1KG75	COBLL1
A0A126GVR8	OR4E2
A0A140T8Z8	TNXB
A0A140T955	HLA-A
A0A140T9J9	HLA-C
A0A140T9M0	HLA-C
A0A140TA46	TRIM39-RPP21
A0A140TA86	QIL1
A0A182DWF2	TXNRD2
A0A182DWI4	VIMP
A0A1B0GTI6	
A0A1B0GTJ8	ARID1B
A0A1B0GTK2	LIN28B
A0A1B0GTL5	RAB11FIP5
A0A1B0GTW6	EPB41L1
A0A1B0GUA3	KIAA1279
A0A1B0GUD6	GRAMD1B
A0A1B0GUI1	RALGAPA1
A0A1B0GUN3	
A0A1B0GUS4	
A0A1B0GUZ7	EFR3A
A0A1B0GV09	EHMT1
A0A1B0GV23	CTSD
A0A1B0GV47	KIF21A
A0A1B0GV86	CHRFAM7A
A0A1B0GW05	DPY19L1
A0A1B0GW52	CHRNA7
A0A1B0GW68	
A0A1B0GW84	PDE4D
A0A1B0GW95	IWS1
A0A1B0GX79	BAG6
A0A1B1UZQ1	PDE10A
A0A1C7CYW6	RAB34
A0A1C7CYX9	DPYSL2
A0A1C7CYZ1	MAPK15
A0A1V1FTP4	POMT1
A0A1W2PNQ5	LIAS
A0A1W2PNV4	ARPC1A
A0A1W2PP54	TTC23L
A0A1W2PPF8	HLA-A
A0A1W2PPG6	GNAO1
A0A1W2PPH1	ME2
A0A1W2PPX5	SCARB2
A0A1W2PPZ2	RTKN
A0A1W2PQS6	RPS10-NUDT3
A0A1W2PQV2	GCSH
A0A1W2PR00	STRADA
A0A1W2PR85	SYNJ2
A0A1W2PRC2	GOSR2
A0A1W2PS41	TMEM182
A0A1X7SBT4	PIGX
A0A1X7SBW3	RNF187
A0A1X7SBZ2	DDX17
A0A1X9RU27	FOXO6
A0A286YEW5	OR8A1
A0A286YF11	MICU1
A0A286YF22	PHGDH
A0A286YFF8	MON2
A0A2C9F2P4	PPT1
A0A2C9F2R7	FRYL
A0A2C9F2Y1	OR11H2
A0A2R2Y2Q3	
A0A2R8Y2Y1	PNISR
A0A2R8Y3N3	HARS2
A0A2R8Y4C9	RPGR
A0A2R8Y4H0	
A0A2R8Y4N4	
A0A2R8Y4P4	
A0A2R8Y4Z8	CCDC9
A0A2R8Y549	INADL
A0A2R8Y566	KIAA1468
A0A2R8Y5A6	ATXN2
A0A2R8Y5B5	SLC19A2
A0A2R8Y5H9	KSR1
A0A2R8Y5P9	SHROOM3
A0A2R8Y5S7	RDX
A0A2R8Y5V9	
A0A2R8Y602	
A0A2R8Y635	ATP13A3
A0A2R8Y653	UCK2
A0A2R8Y6A5	TTLL9
A0A2R8Y6F3	HECW2
A0A2R8Y6I6	
A0A2R8Y6P1	KIAA1211
A0A2R8Y6Y7	SUCLA2
A0A2R8Y793	ACTB
A0A2R8Y7U5	CEP78
A0A2R8Y7W8	MEA1
A0A2R8Y852	
A0A2R8Y8C6	AUTS2
A0A2R8YD58	CSNK2A1
A0A2R8YD63	TOPBP1
A0A2R8YDQ0	VPS33B
A0A2R8YFH5	SEC23B
A0A2R8YFL3	IFNGR1
A0A2R8YFV2	WIZ
A0A2R8YGH5	AP1S1
A0A2R8YGK2	FAM73A
A0A2R8YGM9	EYA1
A0A2R8YHG5	SLC19A3
A0A2U3TZE7	COCH
A0A2U3TZM1	CASK
A0A2U3TZV8	PLCH1
A0A384DVK4	R3HCC1L
A0A384DVU0	PNPLA6
A0A3B3IRI3	
A0A3B3IRL2	CREG1
A0A3B3IRS7	LMBRD1
A0A3B3IRT8	SSR1
A0A3B3IRV1	HDAC8
A0A3B3IRW6	QSER1
A0A3B3IRW8	SORBS1
A0A3B3IRZ4	IQSEC1
A0A3B3IS55	ABLIM1
A0A3B3ISE9	WRB
A0A3B3ISF0	LARP1B
A0A3B3ISF9	ECE1
A0A3B3ISG5	IDE
A0A3B3ISM3	RNF157
A0A3B3ISP1	
A0A3B3ISV4	VKORC1L1
A0A3B3ISV6	ATRNL1
A0A3B3IT54	C8orf33
A0A3B3IT92	
A0A3B3ITJ4	
A0A3B3ITL1	RAB2B
A0A3B3ITL8	
A0A3B3ITP1	FNDC5
A0A3B3ITT1	RAB12
A0A3B3ITT5	RPL29
A0A3B3ITU8	ITPR1
A0A3B3ITW3	ABCD3
A0A3B3IU46	
A0A3B3IU58	TMPRSS9
A0A3B3IUA7	TRIM25
A0A3B3IUB5	HM13
A0A3B3IUC1	
A0A3B3IUD7	PDCD11
A0A494BYR6	
A0A494BZV2	MPRIP
A0A494BZW8	ACSL6
A0A494BZX7	MKL1
A0A494C001	RBM15
A0A494C050	NKAP
A0A494C0G5	AGRN
A0A494C0K5	PARN
A0A494C0Q8	UROD
A0A494C0R8	CLUH
A0A494C0X0	TBCB
A0A494C100	MCM8
A0A494C108	KRI1
A0A494C141	TAZ
A0A494C146	PPOX
A0A494C157	NFKB1
A0A494C1F2	NUP214
A0A494C1G8	SP3
A0A494C1L5	LRBA
A0A494C1M0	SH3D19
A0A499FI31	
A0A499FI48	PDIA4
A0A499FIZ0	WDR26
A0A499FJE1	
A0A4W8ZXM2	IGHV3-72
A0A590UJ16	
A0A590UJ53	KANSL3
A0A590UJ73	TSEN34
A0A590UJA9	TMUB1
A0A590UJB6	KCNAB2
A0A590UJI7	BRCA2
A0A590UJK3	SLMAP
A0A590UJL0	STS
A0A590UJP0	POT1
A0A590UJR0	RAPGEF5
A0A590UJZ9	DMBT1
A0A590UK28	
A0A590UK75	
A0A5F9UP49	SDF4
A0A5F9YFS9	SPCS1
A0A5F9ZA98	ABCB7
A0A5F9ZHD5	AMD1
A0A5F9ZHN9	ALDH3A2
A0A5F9ZHP1	ASCC1
A0A5F9ZHP4	TNK2
A0A5F9ZHU7	PRIM2
A0A5F9ZHW1	AP1S2
A0A5F9ZHX8	ARSE
A0A5F9ZHY2	CAMK2A
A0A5F9ZHY7	BRI3BP
A0A5F9ZI21	ARHGEF2
A0A5F9ZI43	
A0A5H1ZRP4	
A0A5H1ZRR2	CNKSR3
A0A5S6RJB7	FGFR2
A0A669KAX3	WFS1
A0A669KAX4	CUL4B
A0A669KAX9	MRPL2
A0A669KB12	EP300
A0A669KB51	
A0A669KBH4	
A0A669KBJ7	ADNP
A0A669KBL1	USP7
A0A6E1WJ75	
A0A6I8PIQ6	COG4
A0A6I8PIX7	SVIL
A0A6I8PL80	GNL3L
A0A6I8PRM6	ADGRL2
A0A6I8PRP1	
A0A6I8PRU0	CELSR1
A0A6I8PRU6	KRTCAP2
A0A6I8PTU7	
A0A6I8PTZ8	AGO1
A0A6I8PU40	
A0A6Q8PF12	CEP41
A0A6Q8PF18	MND1
A0A6Q8PF94	MID1
A0A6Q8PFA9	GLA
A0A6Q8PFG8	POMK
A0A6Q8PFJ0	LMNA
A0A6Q8PFL2	KIF1A
A0A6Q8PFU3	PAFAH1B1
A0A6Q8PFY7	TFG
A0A6Q8PG18	MEX3C
A0A6Q8PG37	
A0A6Q8PG52	RAB7A
A0A6Q8PG75	
A0A6Q8PGA3	MFN2
A0A6Q8PGA8	
A0A6Q8PGB1	CEP290
A0A6Q8PGH8	XKR8
A0A6Q8PGI7	NPHP1
A0A6Q8PGJ2	IFT172
A0A6Q8PGJ3	KIF5A
A0A6Q8PGQ3	B3GALNT2
A0A6Q8PH09	FANCI
A0A6Q8PH54	SIPA1L2
A0A6Q8PH57	
A0A6Q8PH73	FRMPD4
A0A6Q8PH75	IFRD1
A0A6Q8PHA5	HARS
A0A6Q8PHE5	UBE3A
A0A6Q8PHF1	LARGE
A0A6Q8PHH0	NALCN
A0A6Q8PHQ1	CLCC1
A0A7I2PLE3	MAPT
A0A7I2RAZ6	
A0A7I2RN43	DNAJB5
A0A7I2RYU0	GDAP1
A0A7I2SVS4	HDAC4
A0A7I2V2B1	NRXN3
A0A7I2V2M0	MKS1
A0A7I2V2U6	MTHFD2
A0A7I2V2W4	NDUFA5
A0A7I2V365	
A0A7I2V370	COMT
