b10494	TBC1D14
b10495	VILL
b12290	YBEY
b12292	CHL1
b12293	MAML2
b12294	LRIG1
b12295	TUBGCP5
b12297	MAGEE1
b12298	PLEKHG5
b12299	OCRL
b12300	COPG
b12301	ECT2
b12302	NSMAF
b12303	GAA
b12304	SUGP2
b12306	PCDH12
b12310	IL12RB2
b12311	PCDHAC2
b12312	VWCE
b12313	ANKRD18A
b12315	CRAMP1L
b12316	FAM120A
b12318	MYO6
b12319	A2M
b12325	COBL
b12326	LARS
b12327	NOL8
b12329	KRBA1
b12330	SEMA6D
b12331	SYCP1
b12332	ERAP1
b12333	ANO6
b12334	GANAB
b12337	DCLRE1A
b12420	A2M
b12421	MYO6
b12423	FAM120A
b12424	CRAMP1L
b12426	ANKRD18A
b12427	VWCE
b12428	PCDHAC2
b12429	IL12RB2
b12600	MAPK8IP3
b12601	NOL8
b12602	LARS
b12603	COBL
b12605	PPFIBP1
b12608	SUGP2
b13288	RPS21
b13289	C5orf62
b13292	ATP5I
b13295	OAZ1
b13297	COX7C
b13300	USMG5
b13301	MT2A
b13305	GNG5
b13306	COX17
b13307	SBDSP1
b13349	NBR2
b13352	RPS28
b13353	POLR2L
b13358	ATOX1
b13359	MTCP1NB
b13360	DEFB106A
b13361	MRPL33
b13364	C16orf74
b13365	LENEP
b13367	MT2A
b13409	USMG5
b13412	COX7C
b13414	ATP5I
b13416	RPS21
b13421	COX17
b13423	LST1
b13425	SEP15
b13883	LRFN2
b13884	DIS3
b13885	PCDHGB2
b13886	PCDHB1
b13888	MOGS
b13889	GABBR1
b13890	RABEP1
b13891	RASEF
b13892	EPC2
b13894	GTF3C4
b13895	PCDHGC5
b13896	PNPT1
b13897	GSG2
b13898	ARHGAP12
b13899	PHF14
b14377	EMP3
b14378	UPP1
b14381	LAGE3
b14382	C4orf39
b14386	MS4A6E
b14391	NDUFAF4
b14394	TWIST2
b14396	LAIR2
b14412	TNFSF18
b14413	LEP
b14415	PTP4A1
b14416	ZNHIT1
