sample_id	raw_file_name	plate	well	replicate_letter	ip_name	bait_name	replicate_group	keep
b10494	b10494.raw	81110	G07	C	b10494	TBC1D14	TBC1D14	Y
b10495	b10495.raw	81110	G06	C	b10495	VILL	VILL	Y
b12290	b12290.raw	81131	B12	B	b12290	YBEY	YBEY	Y
b12292	b12292.raw	81131	B10	B	b12292	CHL1	CHL1	Y
b12293	b12293.raw	81131	B09	B	b12293	MAML2	MAML2	Y
b12294	b12294.raw	81131	B08	B	b12294	LRIG1	LRIG1	Y
b12295	b12295.raw	81131	B07	B	b12295	TUBGCP5	TUBGCP5	Y
b12297	b12297.raw	81131	B05	B	b12297	MAGEE1	MAGEE1	Y
b12298	b12298.raw	81131	B04	B	b12298	PLEKHG5	PLEKHG5	Y
b12299	b12299.raw	81131	B03	B	b12299	OCRL	OCRL	Y
b12300	b12300.raw	81131	B02	B	b12300	COPG	COPG	Y
b12301	b12301.raw	81131	G02	A	b12301	ECT2	ECT2	Y
b12302	b12302.raw	81131	G03	A	b12302	NSMAF	NSMAF	Y
b12303	b12303.raw	81131	G04	A	b12303	GAA	GAA	Y
b12304	b12304.raw	81131	G05	A	b12304	SUGP2	SUGP2	Y
b12306	b12306.raw	81131	G09	A	b12306	PCDH12	PCDH12	Y
b12310	b12310.raw	81131	H01	A	b12310	IL12RB2	IL12RB2	Y
b12311	b12311.raw	81131	H02	A	b12311	PCDHAC2	PCDHAC2	Y
b12312	b12312.raw	81131	H04	A	b12312	VWCE	VWCE	Y
b12313	b12313.raw	81131	H05	A	b12313	ANKRD18A	ANKRD18A	Y
b12315	b12315.raw	81131	H07	A	b12315	CRAMP1L	CRAMP1L	Y
b12316	b12316.raw	81131	H08	A	b12316	FAM120A	FAM120A	Y
b12318	b12318.raw	81131	H10	A	b12318	MYO6	MYO6	Y
b12319	b12319.raw	81131	H11	A	b12319	A2M	A2M	Y
b12325	b12325.raw	81131	D10	B	b12325	COBL	COBL	Y
b12326	b12326.raw	81131	D09	B	b12326	LARS	LARS	Y
