idRun	idBait	sample_id	replicate_group	replicate_letter	raw_file_name
b10494	TBC1D14	b10494	TBC1D14	C	b10494.raw
b10495	VILL	b10495	VILL	C	b10495.raw
b12290	YBEY	b12290	YBEY	B	b12290.raw
b12292	CHL1	b12292	CHL1	B	b12292.raw
b12293	MAML2	b12293	MAML2	B	b12293.raw
b12294	LRIG1	b12294	LRIG1	B	b12294.raw
b12295	TUBGCP5	b12295	TUBGCP5	B	b12295.raw
b12297	MAGEE1	b12297	MAGEE1	B	b12297.raw
b12298	PLEKHG5	b12298	PLEKHG5	B	b12298.raw
b12299	OCRL	b12299	OCRL	B	b12299.raw
b12300	COPG	b12300	COPG	B	b12300.raw
b12301	ECT2	b12301	ECT2	A	b12301.raw
b12302	NSMAF	b12302	NSMAF	A	b12302.raw
b12303	GAA	b12303	GAA	A	b12303.raw
b12304	SUGP2	b12304	SUGP2	A	b12304.raw
b12306	PCDH12	b12306	PCDH12	A	b12306.raw
b12310	IL12RB2	b12310	IL12RB2	A	b12310.raw
b12311	PCDHAC2	b12311	PCDHAC2	A	b12311.raw
b12312	VWCE	b12312	VWCE	A	b12312.raw
b12313	ANKRD18A	b12313	ANKRD18A	A	b12313.raw
b12315	CRAMP1L	b12315	CRAMP1L	A	b12315.raw
b12316	FAM120A	b12316	FAM120A	A	b12316.raw
b12318	MYO6	b12318	MYO6	A	b12318.raw
b12319	A2M	b12319	A2M	A	b12319.raw
b12325	COBL	b12325	COBL	B	b12325.raw
b12326	LARS	b12326	LARS	B	b12326.raw
b12327	NOL8	b12327	NOL8	B	b12327.raw
b12329	KRBA1	b12329	KRBA1	B	b12329.raw
b12330	SEMA6D	b12330	SEMA6D	B	b12330.raw
b12331	SYCP1	b12331	SYCP1	B	b12331.raw
b12332	ERAP1	b12332	ERAP1	B	b12332.raw
b12333	ANO6	b12333	ANO6	B	b12333.raw
b12334	GANAB	b12334	GANAB	B	b12334.raw
b12337	DCLRE1A	b12337	DCLRE1A	C	b12337.raw
b12420	A2M	b12420	A2M	C	b12420.raw
b12421	MYO6	b12421	MYO6	C	b12421.raw
b12423	FAM120A	b12423	FAM120A	C	b12423.raw
b12424	CRAMP1L	b12424	CRAMP1L	C	b12424.raw
b12426	ANKRD18A	b12426	ANKRD18A	C	b12426.raw
b12427	VWCE	b12427	VWCE	C	b12427.raw
b12428	PCDHAC2	b12428	PCDHAC2	C	b12428.raw
b12429	IL12RB2	b12429	IL12RB2	C	b12429.raw
b12600	MAPK8IP3	b12600	MAPK8IP3	D	b12600.raw
b12601	NOL8	b12601	NOL8	D	b12601.raw
b12602	LARS	b12602	LARS	D	b12602.raw
b12603	COBL	b12603	COBL	D	b12603.raw
b12605	PPFIBP1	b12605	PPFIBP1	D	b12605.raw
b12608	SUGP2	b12608	SUGP2	D	b12608.raw
b13288	RPS21	b13288	RPS21	B	b13288.raw
b13289	C5orf62	b13289	C5orf62	B	b13289.raw
b13292	ATP5I	b13292	ATP5I	B	b13292.raw
b13295	OAZ1	b13295	OAZ1	B	b13295.raw
b13297	COX7C	b13297	COX7C	B	b13297.raw
b13300	USMG5	b13300	USMG5	B	b13300.raw
b13301	MT2A	b13301	MT2A	B	b13301.raw
b13305	GNG5	b13305	GNG5	B	b13305.raw
b13306	COX17	b13306	COX17	B	b13306.raw
b13307	SBDSP1	b13307	SBDSP1	B	b13307.raw
b13349	NBR2	b13349	NBR2	B	b13349.raw
b13352	RPS28	b13352	RPS28	B	b13352.raw
b13353	POLR2L	b13353	POLR2L	B	b13353.raw
b13358	ATOX1	b13358	ATOX1	C	b13358.raw
b13359	MTCP1NB	b13359	MTCP1NB	C	b13359.raw
