oldName	newName	info	oldFileSize	newFileSize	fileExists	fileCopied
j3567_71PEI1sttestIPs_E06_A_00164_032813_3687.raw	j3567.raw	"Bait:ADA (71PEI1sttestIPs, E06)"	760253918	760253918	1	1
j3644_71PEI1sttestIPs_E06_B_00164_032813_3764.raw	j3644.raw	"Bait:ADA (71PEI1sttestIPs, E06)"	628369228	628369228	1	1
j3536_71PEI1sttestIPs_B05_A_00164_032813_3647.raw	j3536.raw	"Bait:BEND7 (71PEI1sttestIPs, B05)"	699700446	699700446	1	1
j3549_71PEI1sttestIPs_B05_B_00164_032813_3665.raw	j3549.raw	"Bait:BEND7 (71PEI1sttestIPs, B05)"	711069496	711069496	1	1
j3540_71PEI1sttestIPs_B09_A_00164_032813_3654.raw	j3540.raw	"Bait:CCNI2 (71PEI1sttestIPs, B09)"	641521129	641521129	1	1
j3545_71PEI1sttestIPs_B09_B_00164_032813_3657.raw	j3545.raw	"Bait:CCNI2 (71PEI1sttestIPs, B09)"	660639436	660639436	1	1
j3537_71PEI1sttestIPs_B06_A_00164_032813_3648.raw	j3537.raw	"Bait:CD33 (71PEI1sttestIPs, B06)"	612904466	612904466	1	1
j3548_71PEI1sttestIPs_B06_B_00164_032813_3663.raw	j3548.raw	"Bait:CD33 (71PEI1sttestIPs, B06)"	618873079	618873079	1	1
j3566_71PEI1sttestIPs_E04_A_00164_032813_3685.raw	j3566.raw	"Bait:DRG2 (71PEI1sttestIPs, E04)"	664162139	664162139	1	1
j3592_71PEI1sttestIPs_E04_B_00164_032813_3710.raw	j3592.raw	"Bait:DRG2 (71PEI1sttestIPs, E04)"	620883579	620883579	1	1
j3535_71PEI1sttestIPs_B04_A_00164_032813_3646.raw	j3535.raw	"Bait:FAM187B (71PEI1sttestIPs, B04)"	644057923	644057923	1	1
j3550_71PEI1sttestIPs_B04_B_00164_032813_3668.raw	j3550.raw	"Bait:FAM187B (71PEI1sttestIPs, B04)"	664963580	664963580	1	1
j3561_71PEI1sttestIPs_D07_A_00164_032813_3678.raw	j3561.raw	"Bait:HAO1 (71PEI1sttestIPs, D07)"	596294633	596294633	1	1
j3575_71PEI1sttestIPs_D07_B_00164_032813_3695.raw	j3575.raw	"Bait:HAO1 (71PEI1sttestIPs, D07)"	568335694	568335694	1	1
j3568_71PEI1sttestIPs_E08_A_00164_032813_3689.raw	j3568.raw	"Bait:HSPBP1 (71PEI1sttestIPs, E08)"	625600608	625600608	1	1
j3590_71PEI1sttestIPs_E08_B_00164_032813_3706.raw	j3590.raw	"Bait:HSPBP1 (71PEI1sttestIPs, E08)"	598526642	598526642	1	1
