sample_id	raw_file_name	quant_type	source_column	bait_name	condition	is_control	replicate_group	keep	notes
b10494	b10494.raw	Intensity	Intensity b10494					Y	
b10495	b10495.raw	Intensity	Intensity b10495					Y	
b12290	b12290.raw	Intensity	Intensity b12290					Y	
b12292	b12292.raw	Intensity	Intensity b12292					Y	
b12293	b12293.raw	Intensity	Intensity b12293					Y	
b12294	b12294.raw	Intensity	Intensity b12294					Y	
b12295	b12295.raw	Intensity	Intensity b12295					Y	
b12297	b12297.raw	Intensity	Intensity b12297					Y	
b12298	b12298.raw	Intensity	Intensity b12298					Y	
b12299	b12299.raw	Intensity	Intensity b12299					Y	
b12300	b12300.raw	Intensity	Intensity b12300					Y	
b12301	b12301.raw	Intensity	Intensity b12301					Y	
b12302	b12302.raw	Intensity	Intensity b12302					Y	
b12303	b12303.raw	Intensity	Intensity b12303					Y	
b12304	b12304.raw	Intensity	Intensity b12304					Y	
b12306	b12306.raw	Intensity	Intensity b12306					Y	
b12310	b12310.raw	Intensity	Intensity b12310					Y	
b12311	b12311.raw	Intensity	Intensity b12311					Y	
b12312	b12312.raw	Intensity	Intensity b12312					Y	
b12313	b12313.raw	Intensity	Intensity b12313					Y	
b12315	b12315.raw	Intensity	Intensity b12315					Y	
b12316	b12316.raw	Intensity	Intensity b12316					Y	
b12318	b12318.raw	Intensity	Intensity b12318					Y	
b12319	b12319.raw	Intensity	Intensity b12319					Y	
b12325	b12325.raw	Intensity	Intensity b12325					Y	
b12326	b12326.raw	Intensity	Intensity b12326					Y	
b12327	b12327.raw	Intensity	Intensity b12327					Y	
b12329	b12329.raw	Intensity	Intensity b12329					Y	
b12330	b12330.raw	Intensity	Intensity b12330					Y	
b12331	b12331.raw	Intensity	Intensity b12331					Y	
b12332	b12332.raw	Intensity	Intensity b12332					Y	
b12333	b12333.raw	Intensity	Intensity b12333					Y	
b12334	b12334.raw	Intensity	Intensity b12334					Y	
b12337	b12337.raw	Intensity	Intensity b12337					Y	
b12420	b12420.raw	Intensity	Intensity b12420					Y	
b12421	b12421.raw	Intensity	Intensity b12421					Y	
b12423	b12423.raw	Intensity	Intensity b12423					Y	
b12424	b12424.raw	Intensity	Intensity b12424					Y	
b12426	b12426.raw	Intensity	Intensity b12426					Y	
b12427	b12427.raw	Intensity	Intensity b12427					Y	
b12428	b12428.raw	Intensity	Intensity b12428					Y	
b12429	b12429.raw	Intensity	Intensity b12429					Y	
b12600	b12600.raw	Intensity	Intensity b12600					Y	
b12601	b12601.raw	Intensity	Intensity b12601					Y	
b12602	b12602.raw	Intensity	Intensity b12602					Y	
b12603	b12603.raw	Intensity	Intensity b12603					Y	
b12605	b12605.raw	Intensity	Intensity b12605					Y	
b12608	b12608.raw	Intensity	Intensity b12608					Y	
b13288	b13288.raw	Intensity	Intensity b13288					Y	
b13289	b13289.raw	Intensity	Intensity b13289					Y	
b13292	b13292.raw	Intensity	Intensity b13292					Y	
b13295	b13295.raw	Intensity	Intensity b13295					Y	
b13297	b13297.raw	Intensity	Intensity b13297					Y	
b13300	b13300.raw	Intensity	Intensity b13300					Y	
b13301	b13301.raw	Intensity	Intensity b13301					Y	
b13305	b13305.raw	Intensity	Intensity b13305					Y	
b13306	b13306.raw	Intensity	Intensity b13306					Y	
b13307	b13307.raw	Intensity	Intensity b13307					Y	
b13349	b13349.raw	Intensity	Intensity b13349					Y	
b13352	b13352.raw	Intensity	Intensity b13352					Y	
b13353	b13353.raw	Intensity	Intensity b13353					Y	
b13358	b13358.raw	Intensity	Intensity b13358					Y	
b13359	b13359.raw	Intensity	Intensity b13359					Y	
b13360	b13360.raw	Intensity	Intensity b13360					Y	
b13361	b13361.raw	Intensity	Intensity b13361					Y	
b13364	b13364.raw	Intensity	Intensity b13364					Y	
b13365	b13365.raw	Intensity	Intensity b13365					Y	
b13367	b13367.raw	Intensity	Intensity b13367					Y	
b13409	b13409.raw	Intensity	Intensity b13409					Y	
b13412	b13412.raw	Intensity	Intensity b13412					Y	
b13414	b13414.raw	Intensity	Intensity b13414					Y	
b13416	b13416.raw	Intensity	Intensity b13416					Y	
b13421	b13421.raw	Intensity	Intensity b13421					Y	
b13423	b13423.raw	Intensity	Intensity b13423					Y	
b13425	b13425.raw	Intensity	Intensity b13425					Y	
b13883	b13883.raw	Intensity	Intensity b13883					Y	
b13884	b13884.raw	Intensity	Intensity b13884					Y	
b13885	b13885.raw	Intensity	Intensity b13885					Y	
b13886	b13886.raw	Intensity	Intensity b13886					Y	
b13888	b13888.raw	Intensity	Intensity b13888					Y	
b13889	b13889.raw	Intensity	Intensity b13889					Y	
b13890	b13890.raw	Intensity	Intensity b13890					Y	
b13891	b13891.raw	Intensity	Intensity b13891					Y	
b13892	b13892.raw	Intensity	Intensity b13892					Y	
b13894	b13894.raw	Intensity	Intensity b13894					Y	
b13895	b13895.raw	Intensity	Intensity b13895					Y	
b13896	b13896.raw	Intensity	Intensity b13896					Y	
b13897	b13897.raw	Intensity	Intensity b13897					Y	
b13898	b13898.raw	Intensity	Intensity b13898					Y	
b13899	b13899.raw	Intensity	Intensity b13899					Y	
b14377	b14377.raw	Intensity	Intensity b14377					Y	
b14378	b14378.raw	Intensity	Intensity b14378					Y	
b14381	b14381.raw	Intensity	Intensity b14381					Y	
b14382	b14382.raw	Intensity	Intensity b14382					Y	
b14386	b14386.raw	Intensity	Intensity b14386					Y	
b14391	b14391.raw	Intensity	Intensity b14391					Y	
b14394	b14394.raw	Intensity	Intensity b14394					Y	
b14396	b14396.raw	Intensity	Intensity b14396					Y	
b14412	b14412.raw	Intensity	Intensity b14412					Y	
b14413	b14413.raw	Intensity	Intensity b14413					Y	
b14415	b14415.raw	Intensity	Intensity b14415					Y	
b14416	b14416.raw	Intensity	Intensity b14416					Y	
b14417	b14417.raw	Intensity	Intensity b14417					Y	
b14422	b14422.raw	Intensity	Intensity b14422					Y	
b14424	b14424.raw	Intensity	Intensity b14424					Y	
b14425	b14425.raw	Intensity	Intensity b14425					Y	
b14426	b14426.raw	Intensity	Intensity b14426					Y	
b14427	b14427.raw	Intensity	Intensity b14427					Y	
b14428	b14428.raw	Intensity	Intensity b14428					Y	
b14429	b14429.raw	Intensity	Intensity b14429					Y	
b14430	b14430.raw	Intensity	Intensity b14430					Y	
b14432	b14432.raw	Intensity	Intensity b14432					Y	
b14435	b14435.raw	Intensity	Intensity b14435					Y	
b14437	b14437.raw	Intensity	Intensity b14437					Y	
b14438	b14438.raw	Intensity	Intensity b14438					Y	
b14439	b14439.raw	Intensity	Intensity b14439					Y	
b14440	b14440.raw	Intensity	Intensity b14440					Y	
b14441	b14441.raw	Intensity	Intensity b14441					Y	
b14444	b14444.raw	Intensity	Intensity b14444					Y	
b14445	b14445.raw	Intensity	Intensity b14445					Y	
b14446	b14446.raw	Intensity	Intensity b14446					Y	
b14447	b14447.raw	Intensity	Intensity b14447					Y	
b14448	b14448.raw	Intensity	Intensity b14448					Y	
b14450	b14450.raw	Intensity	Intensity b14450					Y	
b14451	b14451.raw	Intensity	Intensity b14451					Y	
b14453	b14453.raw	Intensity	Intensity b14453					Y	
b14454	b14454.raw	Intensity	Intensity b14454					Y	
b14455	b14455.raw	Intensity	Intensity b14455					Y	
b14456	b14456.raw	Intensity	Intensity b14456					Y	
b14457	b14457.raw	Intensity	Intensity b14457					Y	
b14461	b14461.raw	Intensity	Intensity b14461					Y	
b14462	b14462.raw	Intensity	Intensity b14462					Y	
b14463	b14463.raw	Intensity	Intensity b14463					Y	
b14467	b14467.raw	Intensity	Intensity b14467					Y	
b14468	b14468.raw	Intensity	Intensity b14468					Y	
b14472	b14472.raw	Intensity	Intensity b14472					Y	
b14473	b14473.raw	Intensity	Intensity b14473					Y	
b14475	b14475.raw	Intensity	Intensity b14475					Y	
