sample_id	raw_file_name	quant_type	source_column	bait_name	condition	is_control	replicate_group	keep	notes
b10494	b10494.raw	Intensity	Intensity b10494	TBC1D14	81110	N	TBC1D14__81110	Y	platewell=G07; replicate=C
b10495	b10495.raw	Intensity	Intensity b10495	VILL	81110	N	VILL__81110	Y	platewell=G06; replicate=C
b12290	b12290.raw	Intensity	Intensity b12290	YBEY	81131	N	YBEY__81131	Y	platewell=B12; replicate=B
b12292	b12292.raw	Intensity	Intensity b12292	CHL1	81131	N	CHL1__81131	Y	platewell=B10; replicate=B
b12293	b12293.raw	Intensity	Intensity b12293	MAML2	81131	N	MAML2__81131	Y	platewell=B09; replicate=B
b12294	b12294.raw	Intensity	Intensity b12294	LRIG1	81131	N	LRIG1__81131	Y	platewell=B08; replicate=B
b12295	b12295.raw	Intensity	Intensity b12295	TUBGCP5	81131	N	TUBGCP5__81131	Y	platewell=B07; replicate=B
b12297	b12297.raw	Intensity	Intensity b12297	MAGEE1	81131	N	MAGEE1__81131	Y	platewell=B05; replicate=B
b12298	b12298.raw	Intensity	Intensity b12298	PLEKHG5	81131	N	PLEKHG5__81131	Y	platewell=B04; replicate=B
b12299	b12299.raw	Intensity	Intensity b12299	OCRL	81131	N	OCRL__81131	Y	platewell=B03; replicate=B
b12300	b12300.raw	Intensity	Intensity b12300	COPG	81131	N	COPG__81131	Y	platewell=B02; replicate=B
b12301	b12301.raw	Intensity	Intensity b12301	ECT2	81131	N	ECT2__81131	Y	platewell=G02; replicate=A
b12302	b12302.raw	Intensity	Intensity b12302	NSMAF	81131	N	NSMAF__81131	Y	platewell=G03; replicate=A
b12303	b12303.raw	Intensity	Intensity b12303	GAA	81131	N	GAA__81131	Y	platewell=G04; replicate=A
b12304	b12304.raw	Intensity	Intensity b12304	SUGP2	81131	N	SUGP2__81131	Y	platewell=G05; replicate=A
b12306	b12306.raw	Intensity	Intensity b12306	PCDH12	81131	N	PCDH12__81131	Y	platewell=G09; replicate=A
b12310	b12310.raw	Intensity	Intensity b12310	IL12RB2	81131	N	IL12RB2__81131	Y	platewell=H01; replicate=A
b12311	b12311.raw	Intensity	Intensity b12311	PCDHAC2	81131	N	PCDHAC2__81131	Y	platewell=H02; replicate=A
b12312	b12312.raw	Intensity	Intensity b12312	VWCE	81131	N	VWCE__81131	Y	platewell=H04; replicate=A
b12313	b12313.raw	Intensity	Intensity b12313	ANKRD18A	81131	N	ANKRD18A__81131	Y	platewell=H05; replicate=A
b12315	b12315.raw	Intensity	Intensity b12315	CRAMP1L	81131	N	CRAMP1L__81131	Y	platewell=H07; replicate=A
b12316	b12316.raw	Intensity	Intensity b12316	FAM120A	81131	N	FAM120A__81131	Y	platewell=H08; replicate=A
b12318	b12318.raw	Intensity	Intensity b12318	MYO6	81131	N	MYO6__81131	Y	platewell=H10; replicate=A
b12319	b12319.raw	Intensity	Intensity b12319	A2M	81131	N	A2M__81131	Y	platewell=H11; replicate=A
b12325	b12325.raw	Intensity	Intensity b12325	COBL	81131	N	COBL__81131	Y	platewell=D10; replicate=B
b12326	b12326.raw	Intensity	Intensity b12326	LARS	81131	N	LARS__81131	Y	platewell=D09; replicate=B
b12327	b12327.raw	Intensity	Intensity b12327	NOL8	81131	N	NOL8__81131	Y	platewell=D08; replicate=B
